AVzAZOUlmhia5XS5OxXx	I ' m at Yuri Restaurante in Sao Paulo , São Paulo https://t.co/4SegFrx4IU 	 Nao
AVzAZc2amhia5XS5PBEI	I ' m at Ipiranga - sp_prefeitura in São Paulo , SP https://t.co/NEwOF9nfkt 	 Nao
AVzAaOdemhia5XS5P6Nz	SIGA a movimentação dos blocos em São Paulo https://t.co/KGOmLIN5Lo #Carnaval2017 #G1 https://t.co/sIM9aiyMTm 	 Nao
AVzAYcq8mhia5XS5N5j9	Esse jogo provavelmente vai ser 9 a 8 pro São Paulo 	 Sim
AVzAZYNkmhia5XS5O8jk	Hoje 06 vidas batizadas , Glória a 😄 👏 👏 👏 @ Riacho Grande , Sao Paulo , Brazil https://t.co/XzL8accC8a 	 Nao
AVzAYql9mhia5XS5OKOx	Vagas p / Gerente de Frota - Marcondelli & amp ; Rojas Soluções em Recursos Humanos - São Paulo / SP - https://t.co/Z87RW9jgNq 	 Nao
AVzAZovomhia5XS5PO67	Wolf Down @ Rock Together , São Paulo - 11.03.17 🇩 🇪 / / #wolfdown #wolfdownhc #hardcore … https://t.co/UR9N9fi7yF 	 Nao
AVzAZECTmhia5XS5Omp5	I ' m at Itaú Juscelino Kubitschek de Oliveira in Guarulhos , São Paulo https://t.co/a0hQ2X4XEn 	 Nao
AVzAZtTmmhia5XS5PUqN	Aberta em São Paulo Exposição InformaSamba - https://t.co/hfzNLu87fT 	 Nao
AVzAYruPmhia5XS5OLt5	@CamilaFerrariGP @atletico boa tarde musa tudo bem ... Você tem um contato só pra são Paulo quando tu está aqui para agendamento ? Dm .. 	 Nao
AVzAZ2yAmhia5XS5PfZY	GOOOOOOL DO SÃO PAULO ! De novo Lucas Pratto , de cabeça , para virar o placar no Morumbi ! 2 a 1 ! #SAOxSBN https://t.co/KmUxJlYNRl #foto 	 Sim
AVzAZ9dImhia5XS5PnFf	#vaga #emprego ORÇAMENTISTA TÉCNICO - SÃO PAULO - 1 VAGA https://t.co/SHU3BdAt7E #sp #sãopaulo 	 Nao
AVzAYuQymhia5XS5ON4X	Social na Elosinha ❤ @ Jandira , Sao Paulo , Brazil https://t.co/w3LRLDGuJI 	 Nao
AVzAZbEomhia5XS5O_Am	⚡ ️ “ Com 2º tempo arrasador , Palmeiras vence o São Paulo ” https://t.co/dU9eoRh8jh 	 Sim
AVzAYtzNmhia5XS5ONRA	Vasco Corinthians Santos Cruzeiro e São Paulo https://t.co/uVDzypaTsa 	 Sim
AVzAZwSzmhia5XS5PXRy	KLC - Qra Kamikazi Und 013 dirigindo scania series_scania_143m saiu de Sao Joaquim - Frutas , Carne , Embutidos para Sao Paulo . #etsfs 	 Nao
AVzAZ4Dvmhia5XS5PgVf	📷 jnkng.c ・ ・ ・ 예뻐 #pinheirosco #pinheiros @ Pinheiros , Sao Paulo , Brazil https://t.co/iUJ4iL6dfn 	 Nao
AVzAZ4Dvmhia5XS5PgVm	@onewdxtion de sao paulo mesmo ou outro estado ? 	 Nao
AVzAYygWmhia5XS5OTdH	vai são paulo 🔴 ⚫ ️ ⚪ ️ 	 Sim
AVzAZ8BUmhia5XS5PlMA	Just posted a photo @ Morro de São Paulo https://t.co/V4Duiu2EbS 	 Nao
AVzAZXHImhia5XS5O7IT	Vai ser sim ou não ?? 🎶 @ São Paulo , Brazil https://t.co/cSL4iANSh8 	 Nao
AVzAaaJ-mhia5XS5QHyB	Confira o que abre e o que fecha no feriado do carnaval em São Paulo https://t.co/k6mBm4IF3z 	 Nao
AVzAaALSmhia5XS5Pq1F	Hoje eu tô na pista #tonapista kkk @ São Paulo – Congonhas Airport https://t.co/5Y84dDOVxT 	 Nao
AVzAZJBZmhia5XS5Orwu	25k SAO PAULO ( QF ) : Carreras , Amanda ( GBR ) d.  Perrin , Conny ( SUI ) 57 61 63 	 Nao
AVzAY_PAmhia5XS5OhOz	Ciro Gomes , além de desrespeitoso com a população de São Paulo , confirma sua instabilidade emocional e desequilíbri … https://t.co/L8KsdVoi8I 	 Nao
AVzAZ5bLmhia5XS5Phss	Gostei de um vídeo @YouTube de @milspfc https://t.co/ms55jFr4xJ SÃO PAULO 3 X 1 ABC - NARRAÇÃO COPA DO BRASIL 2017 	 Sim
AVzAZZKQmhia5XS5O9dP	São Paulo revive na Copa do Brasil sua decisão mais dolorosa https://t.co/Q8m6g2XP9d #Esporte 	 Sim
AVzAYE8Umhia5XS5NeY2	VOU ACABAR .... COM A PORCO MANIA É A ORDEM DO DIA PQ SER PALMEIRENSE NUNCA FOI FAMA DE SER MAL .. 🎵 😀 ⚽ 🇾 🇪 HOJE TEM SÃO PAULO FC x guarani 	 Sim
AVzAaRl6mhia5XS5P-Lh	Just posted a video @ São Paulo , Brazil https://t.co/3eSivSbF8K 	 Nao
AVzAYWT6mhia5XS5NyOZ	15.mar.2017 - Movimento intenso de passageiros na Estação Itaquera , na zona leste da cidade de São Paulo , na ... https://t.co/kPuO8WRDQt 	 Nao
AVzAYzoMmhia5XS5OU1b	Meu Deus .... o @MatthewDaddario vem pra Sao Paulo . 😱 	 Nao
AVzAYa_fmhia5XS5N4cM	Barquinho de Papel - ANAVITORIA @ São Paulo - 11/09/2016 https://t.co/GkZDRtfWty 	 Nao
AVzAZVS5mhia5XS5O4rd	I ' m at Cafofo Do Italo in São Paulo , SP https://t.co/oocHNIkb85 	 Nao
AVzAYg1Dmhia5XS5N-4X	Santo Antônio de Jesus : Homem é morto a tiros na noite deste Sábado ( 11 ) , no Bairro São Paulo https://t.co/4ZTbGn8ScT 	 Nao
AVzAZTMAmhia5XS5O2UQ	Programa adotado por Marcela Temer é rejeitado em São Paulo – Portal Fórum https://t.co/ptgLVqFSO5 https://t.co/s03zyumSdm 	 Nao
AVzAZ19ymhia5XS5Pejp	Uma Fotografia Ainah Carvalho , baianinha da Vai - Vai Chorando na Garoa - Memórias Musicais de São Paulo https://t.co/6dHobgWVgh 	 Nao
AVzAZDZ6mhia5XS5Ol6a	@SaoPauloFC o q Denis deixa a desejar o Gilbertowski GARANTE ! VAMOS SAO PAULO PORRA !!! 	 Sim
AVzAY4wImhia5XS5OadJ	Só não apago meu face por causa do grupo do São Paulo mil grau 	 Nao
AVzAZQXSmhia5XS5O0Gn	Real Time São Paulo às 22h25 : #Fantastico 19.5 #ProgramaSilvioSantos 14.0 #DomingoEspetacular 11.9 #PanicoNaBand 5.5 #Encrenca 3.0 	 Nao
AVzAaEgYmhia5XS5Putp	I ' m at Ponto Final - São Paulo https://t.co/0OkNnHueb8 	 Nao
AVzAaQkdmhia5XS5P84I	Mas a gente não era a 4ª força de são Paulo ? Kkkkkkkkkkkkk #EuSouCorinthians #vaiCorinthians https://t.co/djwj0kFaqC 	 Nao
AVzAaNcGmhia5XS5P4yD	Gostei de um vídeo @YouTube https://t.co/8aKcI7gMj1 | Hugh Jackman ao vivo em São Paulo - TrailerOffice 	 Nao
AVzAYx0fmhia5XS5OSgo	... @ São Paulo , Brazil https://t.co/A95MM7FJGn 	 Nao
AVzAYZbmmhia5XS5N2Xf	estava muito ocupado e não assistir nenhum jogo hoje . mas meu São Paulo ❤ ganhou ! aaaaa 	 Sim
AVzAYPpemhia5XS5NqvR	Quem colo na São Paulo hoje obrigada ! ❤ 	 Nao
AVzAZrz_mhia5XS5PS2D	Pratto ... Pratto ... 2x1 são Paulo . ... que cruzamento do Júnior Tavares 	 Sim
AVzAaG0nmhia5XS5Px3o	Tá ligado ! @ São Paulo , Brazil https://t.co/Ivh7uh1D7U 	 Nao
AVzAaSdsmhia5XS5P_Rx	Instituto do Câncer do Estado de São Paulo - https://t.co/yOcllKJrFe https://t.co/O1pkkGR8co 	 Nao
AVzAYNwbmhia5XS5NoT8	⚡ ️ “ Com 2º tempo arrasador , Palmeiras vence o São Paulo ” https://t.co/ETCLnwr9Iw 	 Sim
AVzAZeI3mhia5XS5PCwr	Time de Ceni pode atingir maior série invicta do São Paulo desde 2013 https://t.co/xYW8cdDj4F https://t.co/CNzPZAM3zG 	 Sim
AVzAZK96mhia5XS5OuAD	VENDEDOR ( A ) / 2 VAGAS / SÃO PAULO https://t.co/2E18hpY2Ps 	 Nao
AVzAZS2Nmhia5XS5O126	CAMISA UNDER ARMOUR SÃO PAULO I 16 / 17 S / Nº - TORCEDOR De R $ 229,90 Por R $ 99,90 FRETE GRÁTIS ou até 3 x de R $ 33,30 … https://t.co/nZbseNRbEt 	 Sim
AVzAaXPzmhia5XS5QD5E	Foda se , vai pra recife , são paulo , foda se , vai pra pqp 	 Nao
AVzAZFA9mhia5XS5OoAY	Bote gol bonito do São Paulo 	 Sim
AVzAY6IImhia5XS5OcPd	I ' m at Estação Comendador Ermelino ( CPTM ) - @cptm_oficial in São Paulo , SP https://t.co/ifnSKatthy 	 Nao
AVzAaPONmhia5XS5P7L7	Costumamos pensar que São Paulo é uma cidade impossível , onde não ficam marcadas as relações entre seus ... https://t.co/Tbyiyx9k0B 	 Nao
AVzAYQlEmhia5XS5Nr-4	vcs vão ver se dia 19 e 20 eu não vo dormi o dia inteiro pra fingir que não tem nada acontecendo em sao paulo que bangtan nao ta la cantando 	 Nao
AVzAZFNAmhia5XS5OoR-	5 motivos para acreditar que o São Paulo vencerá o Ituano https://t.co/Hl6HGzzw6l https://t.co/nqqfyZMfV6 	 Sim
AVzAZr0Amhia5XS5PS4h	😍 😍 Fofuras do Dia 😍 😍 Isabella e Yasmin de são Paulo SP https://t.co/Mpq1ItTxLu 	 Nao
AVzAYJoVmhia5XS5Njr3	Segundinha padrão @ CEAGESP - Companhia de Entrepostos e Armazéns Gerais de São Paulo https://t.co/Rfr7ibtFaZ 	 Nao
AVzAZvS6mhia5XS5PV4a	Em menos de uma hora , Bellucci é superado por argentino na estreia em São Paulo https://t.co/GR5R7peaQN 	 Nao
AVzAZjq7mhia5XS5PJ-g	Paulista Avenue SÃO PAULO BRASIL 🇧 🇷 @ Hospital Santa Catarina https://t.co/Yf1W5JcIm1 	 Nao
AVzAZxEdmhia5XS5PYNK	🦄 💕 @ São Paulo , Brazil https://t.co/DNv0eckmeG 	 Nao
AVzAYUP8mhia5XS5Nvc3	@MirellaSquirt não vejo a hora de comer o cuzinho dessa Gostosa 😍 . Em maio estarei de volta São Paulo , e vou comer … https://t.co/fOI3xDE94g 	 Nao
AVzAYIzzmhia5XS5NjNi	São Paulo com ataque , ataque , ataque e mais ataque . Luiz Araújo muito bem .. O ABC pouco incomoda ... Jogo já poderia estar com placar maior ! 	 Sim
AVzAYHpSmhia5XS5Nh1_	Boa noite humanos ... Comigo é assim mesmo !!!! @ São Paulo , Brazil https://t.co/HGW6U5oanW 	 Nao
AVzAaWVEmhia5XS5QDK5	Tô mais perdido que a zaga do São Paulo 	 Sim
AVzAZzB0mhia5XS5Pa3R	I ' m at Moóca - @sp_prefeitura in São Paulo , SP https://t.co/wWbVmW6f2R 	 Nao
AVzAYmklmhia5XS5OFKO	só eu percebi que a talita foi p são paulo e xunin tb foi ? 	 Nao
AVzAaaxUmhia5XS5QIcf	APARTAMENTOS À VENDA EM SÃO PAULO : Apartamento pronto à venda na Vila Guilherme em Sã ... https://t.co/zqgAXz0PJ4 	 Nao
AVzAZw4Smhia5XS5PX8P	Hoje tem São Paulo ! Amem irmãos 	 Sim
AVzAYQlDmhia5XS5Nr7T	“ Há dez anos realizava no Museu de Arte de São Paulo uma retrospectiva de Manabu Mabe , brasileiro oriundo do ... https://t.co/HXmeWre9ub 	 Nao
AVzAZxbumhia5XS5PYwr	Gostei de um vídeo @YouTube https://t.co/zxTNo15yxS : ECONOMIA E O FORO DE SÃO PAULO . 	 Nao
AVzAabx4mhia5XS5QJqk	I ' m at São Paulo / Guarulhos International Airport - @gruairportsp in Guarulhos , São Paulo https://t.co/jkRv69XSER 	 Nao
AVzAaZXkmhia5XS5QGxY	@dualipwa @elevenancy eu moro mais longe de sao paulo que ela !! e eu estou me dispondo a ir ela que se vire 	 Nao
AVzAZUoumhia5XS5O3vQ	Amanda vasconcellos - Novo Banner - Travesti São Paulo - https://t.co/b5LuZZoq2f 	 Nao
AVzAZmeNmhia5XS5PMBo	ASSISTENTE ADMINISTRATIVO ( DIABETES ) / SÃO PAULO https://t.co/ccoV5S6y2L 	 Nao
AVzAZlSGmhia5XS5PKoo	Céu de São Paulo pouco antes da chuva de hoje a tarde . #nofilter @ Ipiranga ( district of São Paulo ) https://t.co/v90hqUGkVl 	 Nao
AVzAZnbhmhia5XS5PNTO	I ' m at Panificadora Guaporé in São Paulo , SP https://t.co/hwBSutThie 	 Nao
AVzAYY9rmhia5XS5N1r3	I ' m at Bar e Restautante Marechall in Praia Grande , São Paulo https://t.co/FIwIjczQ5P 	 Nao
AVzAZO1Bmhia5XS5OyFQ	Meio campista do PSG diz que acompanha o São Paulo . Veja : https://t.co/xDGkaAnRrt https://t.co/gOZyOgciZb 	 Sim
AVzAZUg5mhia5XS5O3mq	I ' m at Parque dos Paturis in Carapicuíba , São Paulo w / @joaquiimliima @ilabriito @sampaiojayne @jeff_music1 https://t.co/tlzV5Iil4P 	 Nao
AVzAYVQFmhia5XS5Nw5-	#copadobrasilfoxsports são Paulo é o barça no ataque e o PSG na defesa 	 Sim
AVzAYGBgmhia5XS5NfzI	HOJE TEM SÃO PAULO CARALHOOOOO 	 Sim
AVzAZfXJmhia5XS5PETJ	I ' m at @Cuordicrema in São Caetano do Sul , São Paulo https://t.co/PwnUL7P3oE 	 Nao
AVzAZTA8mhia5XS5O2D2	#boanoite olha aí finalizando a minha participação no @programadojacare em São Paulo .. Música : se acabar nosso ... https://t.co/FAZbt9LZCz 	 Nao
AVzAZ5hOmhia5XS5Phz-	( FSP - 01 ) Roubos de bicicletas crescem 37% em São Paulo em 2016 . Obs . Porque Rio não faz esse levantamento ? 	 Nao
AVzAYxRfmhia5XS5ORyC	@caiolandi em são paulo as luzes ainda acabam ? 	 Nao
AVzAZ8pGmhia5XS5Pl_2	Neilton não vai agüentar jogar no São Paulo não . 	 Sim
AVzAY_DGmhia5XS5Og8o	Pra você : Emprego médico veterinário neurologista , São Paulo – SP https://t.co/PFtvCAaJiY #empregonoagro 	 Nao
AVzAaJy4mhia5XS5P1uC	I ' m at A Costelaria in São Paulo , SP https://t.co/FquOAXEwf7 	 Nao
AVzAYZ5Ymhia5XS5N2_J	Agente De Suporte Técnico I ( Provedor De Internet ) em São Paulo - SP https://t.co/qy5bJYkln0 #vagas 	 Nao
AVzAYWT5mhia5XS5NyNE	@pauloap por que o mascote so São Paulo é o São Pedro ? 	 Sim
AVzAYf3hmhia5XS5N9qV	Pra você : Emprego gerente de loja ( varejo alimentício ) , São Paulo – SP https://t.co/YNfwIeBrjM #empregonoagro 	 Nao
AVzAZHz5mhia5XS5Oq9q	Curtinhas da Vitória : São Paulo 4 x 1 Santo André https://t.co/1PHf4RvWdu https://t.co/QUOV0IfC4i 	 Sim
AVzAZyjimhia5XS5PaLS	😴 😴 😴 @ Ubatuba litoral de São Paulo https://t.co/HfvvWH7mdR 	 Nao
AVzAYt4Tmhia5XS5ONXx	Site do diretório municipal do PT de São Paulo é invadido por hackers https://t.co/XN2wM47WSe by #lourdeszeglin via … https://t.co/qFDQRCe30H 	 Nao
AVzAZl18mhia5XS5PLcO	@horantoys cary , o seu curso tem na minha faculdade , se vc pudesse vir pra São Paulo , talvez desse pra ganhar uma boa bolsa 	 Nao
AVzAZTuzmhia5XS5O3B4	Só passei pra avisar que o desfile de acesso das escolas do rio são melhores que as especiais de São Paulo .. Vlw flw 	 Nao
AVzAZiUAmhia5XS5PIO6	43ª edição do São Paulo Fashion Week https://t.co/XGQaBrSjFB #moda #westinmorg https://t.co/T40dlikdIG 	 Nao
AVzAYmklmhia5XS5OFIn	Um livro por dia . Estou atrasada , socorro . Este chegou ontem 👈 @ São Paulo , Brazil https://t.co/8Ofd7Zy7gh 	 Nao
AVzAZGzYmhia5XS5OqXo	São Paulo atual numa fase de urbanismo ineficiente e perigosamente desigual : https://t.co/T4ZvkFqkYN 	 Nao
AVzAYa0nmhia5XS5N4JY	VENHAM COM A GENTE LUTAR PELA INDEPENDÊNCIA DO BRASIL DO FORO DE SÃO PAULO - UNASUL - URSAL , #INTERVENÇÃOMILITAR JÁ !!! https://t.co/69QASqHP3n 	 Nao
AVzAYmaFmhia5XS5OE52	Helped nearby drivers by reporting a stand still traffic jam on Pista Central Marg . Tietê , São Paulo on @waze - Drive Social . https : / / goo ... 	 Nao
AVzAY3A9mhia5XS5OYOc	São Paulo #KCAFavGlobalMusicStar #BIGBANG https://t.co/qllW3OLPyb 	 Nao
AVzAYvYhmhia5XS5OPXX	Doping em São Paulo triplica e Federação adota ' tolerância zero ' https://t.co/HH3X3E61mP 	 Nao
AVzAZUoumhia5XS5O3va	Minha irmã tá inventando de ir morar em são Paulo , nãoooooooooooo 	 Nao
AVzAYoq1mhia5XS5OH2R	I ' m at Itapi Materias De Construção in Sao Paulo , São Paulo https://t.co/2TyFcWEcme 	 Nao
AVzAZEsamhia5XS5OniC	Animar a sexta ( @ Niwa Sushi in Santo André , São Paulo ) https://t.co/uXCHAF4hnC 	 Nao
AVzAaSurmhia5XS5P_pc	CABÔ A PALHAÇADA ! PRIMEIRA DELEGACIA DE CRIMES CONTRA ANIMAIS SÃO PAULO ( 11 ) 3337-5746 / ( 11 ) 3331-8969 Não ... https://t.co/4WP99SJeV0 	 Nao
AVzAYHg1mhia5XS5Nhrh	#light novamente 😂 ( @ Mixirica Cambuci in São Paulo , SP ) https://t.co/69KX1LgZo8 	 Nao
AVzAZExZmhia5XS5Onmg	Não era o Ceni o Deus de São Paulo ? E o Pratto ? 	 Sim
AVzAaHgEmhia5XS5PyuH	Para Lino , ritmo intenso do São Paulo explica número alto de gols sofridos : Comentarista afirma que equipe de Ceni … https://t.co/DBbRB2LDsY 	 Sim
AVzAaYiQmhia5XS5QFoj	Por transparência , Doria precisa divulgar lista de doadores a São Paulo https://t.co/uBC6x1nvhk https://t.co/zXgOUGwS7U 	 Nao
AVzAaHSimhia5XS5Pyfi	I ' m at Mini Mercado Extra in São Paulo https://t.co/8I6Tjw0R4u 	 Nao
AVzAYS_Pmhia5XS5Nu9O	Colorindo o dia cinza em São Paulo com poncho de crochê e listras multicoloridas @riachuelo + … https://t.co/fLZRVDAdwS 	 Nao
AVzAZ72kmhia5XS5Pk8b	Porra , cancelaram a viajem pra São Paulo de novo . Tomar no cú ! 	 Nao
AVzAZrZUmhia5XS5PSZQ	Evento de carnaval 🎊 #15 ( @ Bloco Rindo A Toa in São Paulo ) https://t.co/Da70yCwqBA https://t.co/TheUvredfx 	 Nao
AVzAY_Vomhia5XS5OhRk	☻ @ São Paulo , Brazil https://t.co/9wzboUI2uX 	 Nao
AVzAZGaFmhia5XS5Op2u	Começou o ANO galera hora de se atualizar ! O Curso de Introdução a Produção Gráfica em São Paulo está no 2º LOTE .... https://t.co/SCPvDQgOsG 	 Nao
AVzAYRl6mhia5XS5NtWQ	quem vocês acham que merece sentar na janela do ônibus pra são paulo ? 	 Nao
AVzAYyIemhia5XS5OS30	Plenária Final do 65º CONEG da UNE ! 💪 🏽 ( @ Teatro Gamaro in São Paulo , SP , SP ) https://t.co/NqH5GtJwxW 	 Nao
AVzAYOXTmhia5XS5No_L	I ' m at Rust & amp ; Oil in São Paulo , SP https://t.co/7ZOI1ymLfe 	 Nao
AVzAaEs4mhia5XS5Pu6m	#batebolanaveia sao paulo vai melhora 	 Sim
AVzAZyzjmhia5XS5Pal8	Tive 8388488888 infartos assistindo o jogo do são paulo , mas enfim , GANHAMOS ! 	 Sim
AVzAZp9vmhia5XS5PQiy	Just posted a photo @ Vila Mariana - Bairro de São Paulo https://t.co/0OM84ZRaHJ 	 Nao
AVzAZdfAmhia5XS5PB3h	SÃO PAULO — Linhas Comunicação contrata Assessor ( a ) de Imprensa com exp . em atendimento , excelente redação , etc . https://t.co/3h30q5Adbp 	 Nao
AVzAYHWbmhia5XS5NhcR	Carnaval : Começa a apuração do Grupo Especial de São Paulo ; siga no Placar UOL https://t.co/zpoehh4ft4 	 Nao
AVzAYrjGmhia5XS5OLen	Gostei de um vídeo @YouTube de @comeonkpop https://t.co/JKaZZwr4hT BTS THE WINGS TOUR IN SÃO PAULO LIVE STREAM 19 / 03 	 Nao
AVzAaGnnmhia5XS5Pxl-	Ou o Dória expulsou a Zona Leste de São Paulo porque ela é a " sujeira de SP " e ninguém me avisou ? 	 Nao
AVzAYFo0mhia5XS5NfSP	Aprendiz de Maestro – Masterclass com a Marquesa https://t.co/lN0QPRQ4LZ via @VEJA SÃO PAULO 	 Nao
AVzAYr0Vmhia5XS5OLz3	@sheyclaudino_ se não é na fé , não é São Paulo 	 Sim
AVzAZL5bmhia5XS5OvGX	Após empate com o Ituano , Rogério diz que São Paulo teve o pior jogo desde sua chegada https://t.co/QTuyLjweVB 	 Sim
AVzAZyzimhia5XS5Pagf	I ' m at @CampusCodeBr in São Paulo https://t.co/LDbRpZX8vD 	 Nao
AVzAZWS9mhia5XS5O5_p	E aí galera de São Paulo , tamo voltando ! E junto com os nossos amigos do Voodoopriest , Arandu Arankuaa e ... https://t.co/3cEBtvqSxU 	 Nao
AVzAY5lgmhia5XS5Obeu	I ' m at Universidade Federal de São Paulo ( UNIFESP ) in São Paulo , SP https://t.co/REhYZrI5iY 	 Nao
AVzAYpj_mhia5XS5OI5T	Ontem @luansantana jurou que estava no Villa Mix de São Paulo . Eita cansaço . 	 Nao
AVzAYWT6mhia5XS5NyPE	hoje tem são paulo ! ❤ 	 Sim
AVzAZemKmhia5XS5PDVK	Mulher é presa pichando muro em São Paulo https://t.co/Qn4VG26Cx3 	 Nao
AVzAYOo9mhia5XS5Npdx	Apenas 4 caracteres tinha o Assunto do Momento mais curto na quarta - feira 8 em São Paulo : https://t.co/aQMMWuaUho #trndnl 	 Nao
AVzAZ_Bfmhia5XS5PpK8	O que você espera do futuro ? @ Cidade de Americana - São Paulo https://t.co/tsAfCzlj3S 	 Nao
AVzAZgd8mhia5XS5PFwK	PENTACAMPEÃO BRASILEIRO DE BARCOS CURTOS - Em São Paulo , o Remo Alvinegro conquistou mais um título expressivo . Par … https://t.co/gk68YIkmEX 	 Nao
AVzAZG4Xmhia5XS5OqaE	🏄 🏻 @ Ilhabela , Sao Paulo , Brazil https://t.co/wMrFyXPD1c 	 Nao
AVzAYQGOmhia5XS5NrXY	I ' m at @BancodoBrasil in Guarulhos , São Paulo https://t.co/fjIKR7SPvK 	 Nao
AVzAZxbtmhia5XS5PYtJ	eu vivi pra dizer que o denis salvou o são paulo da derrota 	 Sim
AVzAZNjsmhia5XS5OwvZ	@Pirulla25 pena ser só em São Paulo ! 	 Nao
AVzAZlBFmhia5XS5PKV6	Almoço delícia das baianas em SP gabi_naves @rocha_lou e carolgutierres @ Frutaria São Paulo https://t.co/zRwr2F1PeL 	 Nao
AVzAZoTDmhia5XS5POUw	E de onde ? Idade ? Solteiro ? — São Paulo , 19 . Namoro https://t.co/3YY5mZMrZS 	 Nao
AVzAZvS6mhia5XS5PV4G	Vagas p / Assistente Executiva ( o ) III - Zona Sul de São Paulo - https://t.co/hX2Puq603W - SP - https://t.co/8aZ49V4Kft 	 Nao
AVzAZ_Gqmhia5XS5PpR0	TA PORRA SÃO PAULO , 4x1 !!! TE AMOO 	 Sim
AVzAYn-wmhia5XS5OG4_	eu adoro São Paulo 	 Nao
AVzAYKqamhia5XS5Nkp6	O melhor happy hour de São Paulo !!! Esperamos você ! … https://t.co/klHLv9p9Ey 	 Nao
AVzAZssOmhia5XS5PUAk	VAMOS SÃO PAULO 	 Sim
AVzAaEs4mhia5XS5Pu6-	Sambas Enredo 2017 Grupo Especial São Paulo https://t.co/XHabADbY0g 	 Nao
AVzAZPcimhia5XS5Oy8s	Job de hoje ( @ Grupo Ultra in São Paulo , SP ) https://t.co/GYH1eGMMOc 	 Nao
AVzAY-gjmhia5XS5OgVM	A chegada da herdeira da Lamborghini fez o BBB17 registrar sua maior audiência às quartas : 18,3 pontos na Grande São Paulo .... #BAIXA ... 	 Nao
AVzAaEIMmhia5XS5PuPg	São Paulo inicia venda de ingressos para a partida contra o Santo André https://t.co/tlu0iLPqHY https://t.co/lgSo4EcXBn 	 Sim
AVzAaMTimhia5XS5P3rr	João Sousa está nos quartos - de - final do torneio de São Paulo https://t.co/cTo34SXLDD https://t.co/YeDOFzQooN 	 Nao
AVzAY7cImhia5XS5Od7L	Com erros do juiz , time misto do São Paulo goleia o Santo André https://t.co/V6iyPUsF0b 	 Sim
AVzAZVF3mhia5XS5O4W6	I ' m at Bargas ' s Family Sweet Home in Guarulhos , São Paulo https://t.co/q7Jl3vTpGe 	 Nao
AVzAZN8Jmhia5XS5OxAg	ainda bem que eu nao to em sao paulo 	 Nao
AVzAZgismhia5XS5PF8N	Marketing é tudo ..... Empresa responsável ela conta da Nike em São Paulo ganhou milhões de likes ..... https://t.co/RBVyG4ZLN5 	 Nao
AVzAYV2wmhia5XS5Nxjd	Modelos baianas são destaque no São Paulo Fashion Week https://t.co/GowE5XIATT 	 Nao
AVzAaWOZmhia5XS5QDFq	O que se leva da vida é a vida que se leva 👊 🏼 ✌ 🏼 @ São Paulo , Brazil https://t.co/ZCJnqLwqqh 	 Nao
AVzAaVu_mhia5XS5QCc6	Deva Samit - Terapeuta Tântrica Agenda de atendimento : Campinas : 13 / 02 à 25 / 02 São Paulo : A definir Brasília : A ... https://t.co/oGpbRZhtw4 	 Nao
AVzAZWS-mhia5XS5O6Bh	Colégio La Salle , em São Paulo . Padre Reginaldo Manzotti . #BatalhaEspiritual . https://t.co/FX32PWAfuy 	 Nao
AVzAYiPGmhia5XS5OAlp	Brasil botons boton pins crachas ( 31 ) 3032-8355 #Botons # BH Sao Paulo https://t.co/o8mFBSDDva ( 11 ) 2877-8408 Bot … https://t.co/rpk4AEGNap 	 Nao
AVzAZhSemhia5XS5PG8F	São Paulo impatou , to puto ! 	 Sim
AVzAZsyOmhia5XS5PUDG	O hashtag #SterolineJuneWedding ocupou a 18º posição no sábado 4 no Top20 dos Assuntos do Momento de São Paulo : https://t.co/vMcQevmG0s 	 Nao
AVzAaXySmhia5XS5QEqZ	Se o São Paulo conseguir a consistência defensiva que tinha na era Bauza ninguém segura o tricolorzao dá massa ataque tá bom demais 	 Sim
AVzAZ8kWmhia5XS5Pl6U	QUE SAUDADE DA MINHA EX Ex ida a São Paulo 	 Nao
AVzAZ_TGmhia5XS5PpmG	Bola rolando aqui na Cidade FM - Novorizontino x São Paulo https://t.co/A8Nzxm2j56 	 Sim
AVzAYw01mhia5XS5OROx	Massagista São Paulo Oriental Japonesa – Ayumi - F : ( 11 ) 95377-7871 - https://t.co/v1OMpyqwZb https://t.co/lV94QDpeaB 	 Nao
AVzAZpnLmhia5XS5PQHH	I ' m at Hospital Salvalus in São Paulo , SP https://t.co/pkBUBjDcpW 	 Nao
AVzAaFUHmhia5XS5Pv2L	https://t.co/GXSLzBQAVk confira vídeo completo no YouTube @augustosuave sempre vídeos novos da São Paulo city https://t.co/4AeEVIxisd 	 Nao
AVzAZqdNmhia5XS5PRHb	QUEREM SABER SOBRE Foro de São Paulo ? TEM MATÉRIAS DE MONTÃO no Google e nas Redes Sociais ! https://t.co/tQ78it3Fm4 	 Nao
AVzAaKU9mhia5XS5P2WU	Vagas p / Vendedor Varejo - ZONA LESTE / SP - JBS Foods - São Paulo / SP - https://t.co/c7hncHFhZK 	 Nao
AVzAZnPtmhia5XS5PNBt	Sessão debate Waiting For B ... ( @ Reserva Cultural - @reserva_oficial in São Paulo , SP ) https://t.co/YfZxWv7AAz 	 Nao
AVzAaUkqmhia5XS5QB6U	@anterogreco se vc for pro interior da Bahia do Ceará de Minas de Pernambuco dá mais sorte do que no interior de São Paulo sou a prova viva 	 Nao
